Offset(P)            #Ptr   #Hnd Access Name
0x0000000002162df8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002162f90      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wucltui.dll
0x0000000002164698      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002164740      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002164ed0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002165a80      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002167f90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000216a028      1      1 ------ \Device\NamedPipe\atsvc
0x000000000216a0d0      2      1 ------ \Device\NamedPipe\epmapper
0x000000000216b038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000216b310      4      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\system
0x000000000216b3a8      4      1 RW---- \Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY
0x000000000216be98      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000216c270      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\olesvr32.dll
0x000000000216cc68      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.6002.23084_x-ww_f3f35550\GdiPlus.dll
0x000000000216cef8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\url.dll
0x000000000216cf90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\olethk32.dll
0x0000000002170b38      2      1 ------ \Device\Afd\Endpoint
0x0000000002172038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002172198      1      1 ------ \Device\Afd\Endpoint
0x0000000002175038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002179038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002179f90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000217a028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x000000000217cef8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\$winnt$.inf
0x000000000217e028      2      1 ------ \Device\NamedPipe\scerpc
0x000000000217e138      1      1 ------ \Device\NamedPipe\scerpc
0x000000000217e378      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000217ef90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002180320      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002183038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002184128      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x0000000002184318      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002185320      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002187f90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\olecnv32.dll
0x00000000021885d8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ndptsp.tsp
0x0000000002189238      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\Tasks
0x000000000218b028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\dllcache
0x000000000218b690      3      1 ------ \Device\NamedPipe\net\NtControlPipe6
0x000000000218b848      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\drivers\etc
0x000000000218b8e0      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\donny\Start Menu\Programs\Accessories\Address Book.lnk
0x000000000218c320      1      1 ------ \Device\NamedPipe\epmapper
0x000000000218ce08      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x000000000218cf90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000218de68      3      1 ------ \Device\NamedPipe\net\NtControlPipe3
0x000000000218e0c8      2      1 ------ \Device\Afd\Endpoint
0x000000000218ff10      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002190038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002191038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002192d78      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002194840      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000021948d8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\olecli32.dll
0x0000000002194d00      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002195038      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002199418      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\unimdm.tsp
0x000000000219a130      2      1 ------ \Device\NamedPipe\ntsvcs
0x000000000219be98      2      1 ------ \Device\NamedPipe\TerminalServer\AutoReconnect
0x000000000219c198      1      1 ------ \Device\NamedPipe\wkssvc
0x000000000219cee8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000219d028      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Games\Minesweeper.lnk
0x000000000219d1c0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\LocalService\Cookies\index.dat
0x000000000219d908      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\User Account Pictures\Default Pictures\chess.bmp.WNCRY
